Region,Year,"Beef and Buffalo Meat Production, Tonnes"
Africa,1961,1960373
Africa,2000,4331042
Africa,2018,7081479
Asia,1961,2729264
Asia,2000,13040793
Asia,2018,18514995
Australia & New Zealand,1961,879424
Australia & New Zealand,2000,2575359
Australia & New Zealand,2018,2895633
Central America,1961,525710
Central America,2000,1765838
Central America,2018,2536210
Europe,1961,9691644
Europe,2000,11771044
Europe,2018,10641599
Northern America,1961,8081148
Northern America,2000,13280048
Northern America,2018,13450584
South America,1961,4666466
South America,2000,11846128
South America,2018,16250766
