Year,"Beef and Buffalo Meat Production, Tonnes"
1961,4666466
1962,4925593
1963,5200308
1964,4799576
1965,4778153
1966,5005298
1967,5276923
1968,5626473
1969,6126357
1970,5977409
1971,5240122
1972,5671965
1973,5703862
1974,5708547
1975,6216523
1976,6935754
1977,7051650
1978,7489163
1979,7411950
1980,7507599
1981,7857045
1982,7499701
1983,7648696
1984,7775803
1985,8178129
1986,8434269
1987,7989397
1988,8496882
1989,8919911
1990,9368722
1991,9597538
1992,9578362
1993,9739472
1994,10078549
1995,10604086
1996,11237549
1997,11178247
1998,10808532
1999,11587949
2000,11846128
2001,11651386
2002,12086162
2003,12325121
2004,13336823
2005,14533987
2006,15110539
2007,15538287
2008,15281210
2009,15265235
2010,14698231
2011,14513371
2012,14994690
2013,15685487
2014,15625830
2015,15308584
2016,15066457
2017,15529460
2018,16250766
